page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
1,https://immovlan.be/en/detail/apartment/for-sale/3700/berg/rbu29731,Berg,3700,appartment,flat,257120.0,1.0,77.0,N/A,N/A,1.0,6.0,N/A,N/A,N/A,2,N/A,New,2025
2,https://immovlan.be/en/detail/apartment/for-sale/3700/berg/rbu29739,Berg,3700,appartment,flat,279182.0,1.0,75.0,N/A,N/A,1.0,27.0,1.0,68.0,N/A,2,N/A,New,2025
3,https://immovlan.be/en/detail/apartment/for-sale/3700/berg/rbu29737,Berg,3700,appartment,flat,316816.0,2.0,91.0,N/A,N/A,1.0,13.0,N/A,N/A,N/A,2,N/A,New,2025
4,https://immovlan.be/en/detail/apartment/for-sale/3700/berg/rbu29733,Berg,3700,appartment,flat,316816.0,2.0,91.0,N/A,N/A,1.0,13.0,N/A,N/A,N/A,2,N/A,New,2025
5,https://immovlan.be/en/detail/duplex/for-sale/3700/berg/rbu29738,Berg,3700,appartment,duplex,369210.0,2.0,115.0,N/A,N/A,1.0,7.0,N/A,N/A,N/A,2,N/A,New,2025
6,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu47155,Tongeren,3700,appartment,flat,205000.0,1.0,61.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,2,N/A,New,2025
7,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu47153,Tongeren,3700,appartment,flat,249500.0,2.0,77.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,2,N/A,New,2025
8,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu47154,Tongeren,3700,appartment,flat,262500.0,2.0,81.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,2,N/A,New,2025
9,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu47151,Tongeren,3700,appartment,flat,313500.0,3.0,97.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,2,N/A,New,2025
10,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu47152,Tongeren,3700,appartment,flat,322000.0,3.0,103.0,N/A,N/A,1.0,N/A,1.0,N/A,N/A,2,N/A,New,2025
