page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
1,https://immovlan.be/en/detail/residence/for-sale/2970/s-gravenwezel/rbv31132,s-Gravenwezel,2970,house,house,1395000,4,336,,,True,,True,,5251 m²,4,,Excellent,1955
2,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/vbd90394,Schilde,2970,house,house,702281,3,190,,,,,,,1239 m²,4,,New,
3,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/rbv25217,Schilde,2970,house,house,549000,2,149,,False,True,27 m²,True,,758 m²,4,,Normal,1986
4,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/vbd84494,Schilde,2970,house,house,869973,4,233,,,,,,,2001 m²,4,,New,
5,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/rbv23384,Schilde,2970,house,house,595000,4,199,,False,True,,True,,931 m²,4,,Normal,1996
6,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/vbd81185,Schilde,2970,house,house,797705,4,198,,,,,,,2682 m²,4,,New,
7,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/rbv23379,Schilde,2970,house,house,515000,3,140,,False,True,,True,,1440 m²,4,False,Normal,2005
8,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/rbv23364,Schilde,2970,house,house,398000,2,132,,False,True,,True,,237 m²,3,,Normal,1925
9,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/rbv07518,Schilde,2970,house,house,349000,3,121,,False,False,,True,150 m²,314 m²,,,To be renovated,1970
10,https://immovlan.be/en/detail/apartment/for-sale/2970/schilde/rbv06913,Schilde,2970,appartment,flat,1185000,3,364,,False,True,48 m²,,,,,,,2015
11,https://immovlan.be/en/detail/duplex/for-sale/2970/schilde/rbv06912,Schilde,2970,appartment,duplex,1185000,3,364,,False,True,48 m²,,,,,,,2015
12,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/vbd64401,Schilde,2970,house,house,572351,3,138,,,,,True,,369 m²,3,,New,
13,https://immovlan.be/en/detail/villa/for-sale/2970/schilde/rbu85521,Schilde,2970,house,villa,1595000,5,540,,False,True,,True,,3896 m²,,False,,1974
14,https://immovlan.be/en/detail/residence/for-sale/2970/schilde/vbd75618,Schilde,2970,house,house,583980,5,160,,,,,,,768 m²,2,,New,
