page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
20,https://immovlan.be/en/detail/investment-property/for-sale/3700/berg/rbv23155,Berg,3700.0,investmentProperty,returnBuilding,550000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,To be renovated,1930.0
30,https://immovlan.be/en/detail/investment-property/for-sale/3700/berg/rbv15116,Berg,3700.0,investmentProperty,returnBuilding,525000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,https://immovlan.be/en/detail/investment-property/for-sale/3700/berg/rbv15113,Berg,3700.0,investmentProperty,returnBuilding,525000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
32,https://immovlan.be/en/detail/investment-property/for-sale/3700/berg/rbv15112,Berg,3700.0,investmentProperty,returnBuilding,525000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,https://immovlan.be/en/detail/investment-property/for-sale/3700/berg/rbu33643,Berg,3700.0,investmentProperty,returnBuilding,400000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,4515.0,N/A,N/A,N/A,N/A
93,https://immovlan.be/en/detail/investment-property/for-sale/9420/erpe-mere/rbv13163,Erpe-Mere,9420.0,investmentProperty,returnBuilding,695000.0,20.0,845.0,N/A,N/A,1.0,100.0,1.0,800.0,N/A,N/A,N/A,Normal,N/A
165,https://immovlan.be/en/detail/investment-property/for-sale/3800/sint-truiden/rbu80502,Sint-Truiden,3800.0,investmentProperty,returnBuilding,757000.0,4.0,206.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0,N/A,New,N/A
272,https://immovlan.be/en/detail/investment-property/for-sale/9300/aalst/rbv24536,Aalst,9300.0,investmentProperty,returnBuilding,799000.0,9.0,372.0,N/A,N/A,1.0,20.0,N/A,N/A,160.0,N/A,N/A,Normal,1899.0
275,https://immovlan.be/en/detail/investment-property/for-sale/9300/aalst/rbv17805,Aalst,9300.0,investmentProperty,returnBuilding,139000.0,2.0,74.0,N/A,N/A,N/A,N/A,N/A,N/A,245.0,2.0,N/A,Normal,1956.0
293,https://immovlan.be/en/detail/investment-property/for-sale/9300/aalst/rbu99269,Aalst,9300.0,investmentProperty,returnBuilding,189000.0,2.0,102.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0,N/A,N/A,1974.0
310,https://immovlan.be/en/detail/investment-property/for-sale/9300/aalst/rbu80292,Aalst,9300.0,investmentProperty,returnBuilding,149500.0,2.0,72.0,N/A,N/A,N/A,N/A,N/A,N/A,40.0,2.0,N/A,To be renovated,N/A
414,https://immovlan.be/en/detail/investment-property/for-sale/3200/aarschot/rbv25225,Aarschot,3200.0,investmentProperty,returnBuilding,750000.0,6.0,288.0,N/A,N/A,N/A,N/A,N/A,N/A,428.0,3.0,N/A,To be renovated,1974.0
425,https://immovlan.be/en/detail/investment-property/for-sale/3200/aarschot/rbk95206,Aarschot,3200.0,investmentProperty,returnBuilding,595000.0,7.0,600.0,N/A,N/A,1.0,N/A,N/A,N/A,277.0,2.0,N/A,Excellent,1970.0
429,https://immovlan.be/en/detail/investment-property/for-sale/3200/aarschot/rbi90075,Aarschot,3200.0,investmentProperty,returnBuilding,375000.0,N/A,180.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,To renovate,N/A
473,https://immovlan.be/en/detail/investment-property/for-sale/8211/aartrijke/rbu76837,Aartrijke,8211.0,investmentProperty,returnBuilding,587000.0,N/A,497.0,N/A,N/A,N/A,N/A,N/A,N/A,250.0,N/A,N/A,N/A,1969.0
476,https://immovlan.be/en/detail/investment-property/for-sale/8211/aartrijke/rbu74648,Aartrijke,8211.0,investmentProperty,returnBuilding,249000.0,2.0,99.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2010.0
477,https://immovlan.be/en/detail/investment-property/for-sale/8211/aartrijke/rbu73967,Aartrijke,8211.0,investmentProperty,returnBuilding,587000.0,7.0,497.0,N/A,N/A,N/A,N/A,N/A,N/A,250.0,2.0,N/A,N/A,1969.0
514,https://immovlan.be/en/detail/investment-property/for-sale/4280/hannut/vbd54909,Hannut,4280.0,investmentProperty,returnBuilding,520000.0,2.0,611.0,N/A,N/A,N/A,N/A,N/A,N/A,452.0,2.0,N/A,Normal,1900.0
576,https://immovlan.be/en/detail/investment-property/for-sale/5590/ciney/vbd73750,Ciney,5590.0,investmentProperty,returnBuilding,450000.0,3.0,252.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.0,N/A,N/A,N/A
578,https://immovlan.be/en/detail/investment-property/for-sale/5590/ciney/vbd73639,Ciney,5590.0,investmentProperty,returnBuilding,600000.0,4.0,250.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
579,https://immovlan.be/en/detail/investment-property/for-sale/5590/ciney/vbd73638,Ciney,5590.0,investmentProperty,returnBuilding,400000.0,5.0,260.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.0,N/A,N/A,N/A
580,https://immovlan.be/en/detail/investment-property/for-sale/5590/ciney/vbd73637,Ciney,5590.0,investmentProperty,returnBuilding,350000.0,3.0,146.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.0,N/A,To be renovated,N/A
601,https://immovlan.be/en/detail/investment-property/for-sale/5590/ciney/vbc21920,Ciney,5590.0,investmentProperty,returnBuilding,319000.0,5.0,149.0,Not equipped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Excellent,N/A
602,https://immovlan.be/en/detail/investment-property/for-sale/5590/ciney/vbb62879,Ciney,5590.0,investmentProperty,returnBuilding,1795000.0,16.0,1461.0,Super equipped,N/A,1.0,83.0,1.0,6996.0,8669.0,4.0,1.0,Excellent,1700.0
627,https://immovlan.be/en/detail/investment-property/for-sale/5590/ciney/vbd68414,Ciney,5590.0,investmentProperty,returnBuilding,199000.0,1.0,104.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Normal,N/A
690,https://immovlan.be/en/detail/investment-property/for-sale/9991/adegem/rbu66912,Adegem,9991.0,investmentProperty,returnBuilding,380000.0,3.0,185.0,N/A,N/A,N/A,N/A,1.0,N/A,403.0,3.0,N/A,New,2025.0
694,https://immovlan.be/en/detail/investment-property/for-sale/9991/adegem/rbv12240,Adegem,9991.0,investmentProperty,returnBuilding,365000.0,3.0,188.0,N/A,N/A,N/A,N/A,1.0,N/A,423.0,3.0,N/A,New,2025.0
714,https://immovlan.be/en/detail/investment-property/for-sale/8660/de-panne/rbv17720,De Panne,8660.0,investmentProperty,returnBuilding,249500.0,2.0,150.0,N/A,N/A,1.0,N/A,1.0,N/A,150.0,2.0,N/A,To be renovated,N/A
726,https://immovlan.be/en/detail/investment-property/for-sale/8660/de-panne/rbu74342,De Panne,8660.0,investmentProperty,returnBuilding,90000.0,2.0,28.0,N/A,N/A,1.0,2.0,N/A,N/A,30.0,2.0,N/A,N/A,2015.0
727,https://immovlan.be/en/detail/investment-property/for-sale/8660/de-panne/rbu74353,De Panne,8660.0,investmentProperty,returnBuilding,355000.0,8.0,192.0,N/A,N/A,N/A,N/A,1.0,N/A,140.0,3.0,N/A,Excellent,1951.0
772,https://immovlan.be/en/detail/investment-property/for-sale/8660/de-panne/rbu74352,De Panne,8660.0,investmentProperty,returnBuilding,355000.0,8.0,192.0,N/A,N/A,N/A,N/A,1.0,N/A,140.0,3.0,N/A,Excellent,1951.0
773,https://immovlan.be/en/detail/investment-property/for-sale/8660/de-panne/rbu74345,De Panne,8660.0,investmentProperty,returnBuilding,145000.0,2.0,37.0,N/A,N/A,1.0,N/A,1.0,N/A,61.0,2.0,N/A,Excellent,2015.0
884,https://immovlan.be/en/detail/investment-property/for-sale/6250/aiseau/vbd90513,Aiseau,6250.0,investmentProperty,returnBuilding,849000.0,10.0,443.0,N/A,N/A,1.0,30.0,1.0,N/A,N/A,3.0,N/A,New,2020.0
899,https://immovlan.be/en/detail/investment-property/for-sale/6250/aiseau-presles/vbd77237,Aiseau-Presles,6250.0,investmentProperty,returnBuilding,247500.0,3.0,197.0,N/A,N/A,N/A,N/A,N/A,N/A,114.0,3.0,N/A,Normal,N/A
912,https://immovlan.be/en/detail/investment-property/for-sale/5070/fosses-la-ville/vbd15966,Fosses-la-Ville,5070.0,investmentProperty,returnBuilding,349000.0,2.0,277.0,N/A,N/A,1.0,32.0,1.0,37.0,190.0,2.0,N/A,To be renovated,N/A
995,https://immovlan.be/en/detail/investment-property/for-sale/4540/amay/vbd85808,Amay,4540.0,investmentProperty,returnBuilding,389000.0,5.0,250.0,Fully equipped,N/A,1.0,N/A,1.0,N/A,644.0,4.0,N/A,Normal,1993.0
996,https://immovlan.be/en/detail/investment-property/for-sale/4540/amay/vbc97377,Amay,4540.0,investmentProperty,returnBuilding,225000.0,3.0,280.0,Partially equipped,N/A,N/A,N/A,N/A,N/A,155.0,2.0,N/A,To be renovated,1918.0
1012,https://immovlan.be/en/detail/investment-property/for-sale/4540/amay/vwd15219,Amay,4540.0,investmentProperty,returnBuilding,329000.0,4.0,240.0,N/A,N/A,1.0,N/A,1.0,N/A,415.0,3.0,N/A,Normal,N/A
1017,https://immovlan.be/en/detail/investment-property/for-sale/4540/amay/vbd40316,Amay,4540.0,investmentProperty,returnBuilding,340000.0,6.0,274.0,N/A,N/A,N/A,N/A,N/A,N/A,500.0,N/A,N/A,Normal,N/A
1018,https://immovlan.be/en/detail/investment-property/for-sale/4540/amay/vbc72863,Amay,4540.0,investmentProperty,returnBuilding,185000.0,2.0,150.0,Partially equipped,N/A,1.0,N/A,N/A,N/A,N/A,2.0,N/A,To renovate,N/A
1045,https://immovlan.be/en/detail/investment-property/for-sale/6953/ambly/vbd48750,Ambly,6953.0,investmentProperty,returnBuilding,165000.0,2.0,92.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Normal,N/A
1046,https://immovlan.be/en/detail/investment-property/for-sale/6953/ambly/vbd48583,Ambly,6953.0,investmentProperty,returnBuilding,298500.0,5.0,145.0,N/A,N/A,1.0,36.0,N/A,N/A,N/A,N/A,N/A,Normal,N/A
1080,https://immovlan.be/en/detail/investment-property/for-sale/7750/amougies/rbv34799,Amougies,7750.0,investmentProperty,returnBuilding,374900.0,3.0,198.0,N/A,N/A,1.0,39.0,1.0,N/A,554.0,3.0,N/A,New,2023.0
1082,https://immovlan.be/en/detail/investment-property/for-sale/7750/amougies/rbu98761,Amougies,7750.0,investmentProperty,returnBuilding,189900.0,N/A,0.0,N/A,N/A,N/A,N/A,1.0,N/A,1311.0,4.0,N/A,New,N/A
1083,https://immovlan.be/en/detail/investment-property/for-sale/7750/amougies/vbb94770,Amougies,7750.0,investmentProperty,returnBuilding,325000.0,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,9125.0,N/A,N/A,N/A,N/A
1084,https://immovlan.be/en/detail/investment-property/for-sale/7750/amougies/rbv02239,Amougies,7750.0,investmentProperty,returnBuilding,310000.0,N/A,0.0,N/A,N/A,N/A,N/A,1.0,N/A,2902.0,4.0,N/A,New,N/A
1091,https://immovlan.be/en/detail/investment-property/for-sale/7750/mont-de-l-enclus/rbv29653,Mont-de-l'Enclus,7750.0,investmentProperty,returnBuilding,299500.0,4.0,483.0,Super equipped,N/A,1.0,N/A,N/A,N/A,590.0,4.0,N/A,Normal,N/A
1092,https://immovlan.be/en/detail/investment-property/for-sale/7750/mont-de-l-enclus/rbv29652,Mont-de-l'Enclus,7750.0,investmentProperty,returnBuilding,299500.0,N/A,483.0,Super equipped,N/A,1.0,N/A,N/A,N/A,590.0,4.0,N/A,Normal,N/A
1101,https://immovlan.be/en/detail/investment-property/for-sale/7750/orroir/vbd68817,Orroir,7750.0,investmentProperty,returnBuilding,119000.0,2.0,108.0,N/A,N/A,N/A,N/A,N/A,N/A,595.0,2.0,N/A,N/A,N/A
1106,https://immovlan.be/en/detail/investment-property/for-sale/7750/mont-de-l-enclus/rbu95069,Mont-de-l'Enclus,7750.0,investmentProperty,returnBuilding,168000.0,3.0,145.0,Fully equipped,N/A,N/A,N/A,1.0,15.0,96.0,2.0,N/A,Normal,1930.0
1120,https://immovlan.be/en/detail/investment-property/for-sale/5300/andenne/vbd86216,Andenne,5300.0,investmentProperty,returnBuilding,325000.0,N/A,353.0,N/A,N/A,N/A,N/A,1.0,N/A,691.0,3.0,N/A,To be renovated,N/A
1124,https://immovlan.be/en/detail/investment-property/for-sale/5300/andenne/vbc67659,Andenne,5300.0,investmentProperty,returnBuilding,450000.0,7.0,372.0,Super equipped,N/A,1.0,51.0,N/A,N/A,1436.0,2.0,N/A,Normal,N/A
1143,https://immovlan.be/en/detail/investment-property/for-sale/5300/andenne/vbd60417,Andenne,5300.0,investmentProperty,returnBuilding,299000.0,4.0,175.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.0,N/A,To be renovated,1900.0
1158,https://immovlan.be/en/detail/investment-property/for-sale/5300/andenne/vbd78124,Andenne,5300.0,investmentProperty,returnBuilding,1550000.0,2.0,200.0,N/A,N/A,N/A,N/A,N/A,N/A,1900.0,N/A,N/A,Normal,N/A
